date,total
11/08/2015,21
11/09/2015,15
11/10/2015,5
11/11/2015,13
11/12/2015,7
11/13/2015,8
11/14/2015,7
11/15/2015,5
11/16/2015,10
11/17/2015,5
11/18/2015,3
11/19/2015,5
11/20/2015,4
11/21/2015,1
11/22/2015,6
11/24/2015,5
11/25/2015,9
11/26/2015,1
11/27/2015,1
11/28/2015,2
11/29/2015,4
11/30/2015,3
12/01/2015,5
12/02/2015,1
12/03/2015,3
12/04/2015,4
12/05/2015,6
12/06/2015,5
12/07/2015,8
12/08/2015,1
12/09/2015,5
12/10/2015,1
12/12/2015,1
12/13/2015,6
12/14/2015,1
12/15/2015,1
12/18/2015,1
12/19/2015,3
12/20/2015,3
12/21/2015,1
12/22/2015,2
12/24/2015,6
12/25/2015,2
12/27/2015,3
12/28/2015,4
12/29/2015,7
12/30/2015,10
12/31/2015,7
01/01/2016,22
01/02/2016,19
01/03/2016,20
01/04/2016,14
01/05/2016,34
01/06/2016,23
01/07/2016,22
01/08/2016,10
01/09/2016,8
01/10/2016,14
01/11/2016,11
01/12/2016,5
01/13/2016,19
01/14/2016,14
01/15/2016,6
01/16/2016,14
01/17/2016,10
01/18/2016,7
01/19/2016,18
01/21/2016,29
01/22/2016,5
01/23/2016,10
01/24/2016,6
01/25/2016,18
01/26/2016,14
01/27/2016,18
01/28/2016,18
01/29/2016,15
01/30/2016,15
01/31/2016,8
02/01/2016,6
02/02/2016,10
02/03/2016,5
02/04/2016,8
02/05/2016,12
02/06/2016,10
02/07/2016,19
02/08/2016,1
02/09/2016,8
02/10/2016,2
02/11/2016,12
02/12/2016,7
02/13/2016,10
02/14/2016,1
02/15/2016,8
02/16/2016,9
02/17/2016,5
02/18/2016,3
02/19/2016,5
02/20/2016,6
02/21/2016,2
02/23/2016,1
02/24/2016,3
02/25/2016,3
02/26/2016,7
02/27/2016,3
02/28/2016,8
02/29/2016,2
03/01/2016,6
03/02/2016,2
03/03/2016,3
03/04/2016,1
03/05/2016,1
03/06/2016,3
03/09/2016,1
03/12/2016,2
03/13/2016,5
03/14/2016,2
03/15/2016,4
03/16/2016,2
03/17/2016,5
03/18/2016,6
03/19/2016,4
03/20/2016,6
03/21/2016,10
03/22/2016,14
03/23/2016,15
03/24/2016,13
03/25/2016,10
03/26/2016,6
03/27/2016,6
03/28/2016,9
03/29/2016,8
03/30/2016,2
03/31/2016,7
04/01/2016,4
04/02/2016,5
04/03/2016,2
04/04/2016,12
04/05/2016,9
04/06/2016,8
04/07/2016,14
04/08/2016,6
04/09/2016,4
04/10/2016,14
04/11/2016,8
04/12/2016,2
04/13/2016,12
04/14/2016,9
04/15/2016,21
04/16/2016,18
04/17/2016,3
04/18/2016,14
04/19/2016,10
04/20/2016,13
04/21/2016,7
04/22/2016,12
04/23/2016,21
04/24/2016,4
04/26/2016,2
04/27/2016,2
04/28/2016,3
05/02/2016,1
05/03/2016,2
05/04/2016,3
05/06/2016,3
05/07/2016,4
05/08/2016,7
05/09/2016,2
