id, date, time, views, author, message
1,2015/12/22,11:27:27 AM,605,الزعيم عفاش بجم الوطن,عـــــاجــل: القوة الصاروخية تطلق صاروخا باليستياً من نوع قاهر 1 على شركة أرامكو في جيزان.     ‏   العهد تلقرام:
2,2015/12/24,1:10:49 PM,873,الزعيم عفاش بجم الوطن,الجبهة.الإعلامية.اليمن.tt -----------------------------------------شاهدمقطع فيديو من قلب الحدثللساعات الأولى...https://mmf.cdn.whatsapp.net/d/wRwdg1kMnhDJjjaY5wAhEVZ6lWwABSeP-oFq_w/AtA8HmLo7XgEMejHkQdl5CfXvCp8-8MOsYHolkKmmY7C.mp4-------------------------------------- الجبهة.الإعلامية.اليمن.tt--------------------------------------معــــاً لإِحيــاء الـذِكـرى السنــويـة للمـولد النبـوي الشريف على صـاحبـهِ وآلـه أفضل الصلاة والتسليم.
3,2015/12/24,1:24:37 PM,1.3K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ شاهد | نزع ألغام وتفجير عبّارة بموقع المهدف السعودي في #جيزان من قبل الجيش اليمني واللجان الشعبية #والقادم_أعظم 24-12-2015--------------------- ‏ رابط مباشر [ 3.3 ميجا ] //mmf.whatsapp.net/d/dzsbR-xHrlGIex5Kf18TFVZ8DFAABSemUuFzJw/AiiC94iTuGBa_V81JETYcCf6WcrMIPqdQr9tl82-3Md1.mp4
4,2015/12/24,1:26:39 PM,0,الزعيم عفاش بجم الوطن,باقة من أروع قنوات التليجرام           نقدمها بين يديك ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃🇾🇪 قنوات متخصصة |دليل الخدمات
5,2015/12/25,11:15:41 AM,196,الزعيم عفاش بجم الوطن,يمكنكم الاشتراك  في قناة      الحقـــيقــة لاغـــير.       عبر  التيلجرام الأخبار العاجلة والتقارير اليومية - مواكبة جميع وسائط الإعلام الحربيأناشيد وزوامل - مقالات - بشائر النصر - رصد جرائم العدوان وكافة المستجدات في مواجهة  العدوان السعودي الأمريكي      الحقـــيقــة لاغـــير. telegram.me/FactNoAnother
6,2015/12/27,11:29:41 AM,1.1K,الزعيم عفاش بجم الوطن,شاهد | العمليات العسكرية للجيش اليمني واللجان الشعبية في الأراضي السعودية 26-12-2015الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات
7,2015/12/27,11:31:19 AM,992,الزعيم عفاش بجم الوطن,وزع الإعلام الحربي مشاهد لعملية إطلاق صاروخ قاهر-1 على معسكر الحرس الوطني السعودي في نجران-2015-12-27#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات
8,2015/12/27,11:47:32 AM,6.7K,الزعيم عفاش بجم الوطن,‏ شاهد | خسائر يتلقاها الجيش السعودي بالمواجهات العسكرية بالرمضة ومنفذ الطوال في #جيزان على أيدي الجيش واللجان الشعبية #والقادم_أعظم 25-12-2015 ‎هُـنـا المسيــرةtelegram.me/Hona_Almasirah
9,2015/12/29,11:55:17 AM,1.2K,الزعيم عفاش بجم الوطن,شاهد | العجز في الميزانية السعودية 28-12-2015.#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات
10,2015/12/29,11:55:51 AM,1.1K,الزعيم عفاش بجم الوطن,شاهد | الجيش واللجان الشعبية يكبدون الغزاة ومرتزقتهم خسائر في العمري 28-12-2015‎#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات
11,2015/12/29,11:57:15 AM,7K,الزعيم عفاش بجم الوطن,‏ شاهد | #الخيارات_الاستراتيجية: كسر الخط الدفاعي السعودي الأول والسيطرة على عشرات المواقع ليس إلا البداية #والقادم_أعظم 27-12-2015 ‎هُـنـا المسيــرةtelegram.me/Hona_Almasirah
12,2015/12/29,11:58:12 AM,6.7K,الزعيم عفاش بجم الوطن,‏ شاهد | تطهير "حصن العاوه" أكبر معاقل المرتزقة في جبل حبشي بمحافظة #تعز ضمن الإنجازات الميدانية للجيش واللجان الشعبية في الجبهات الداخلية 28-12-2015 ‎هُـنـا المسيــرةtelegram.me/Hona_Almasirah
13,2015/12/29,12:08:02 PM,2.5K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ ‏ شاهد | السيطرة على الجبال الممتدة على الخط الساحلي للعمري وذباب في #تعز من قبل أبطال الجيش واللجان الشعبية 28-12-2015                                  النجم الثاقب telegram.me/alnajm_althaqb
14,2015/12/29,4:32:00 PM,2.3K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ ‏ شاهد | #الخيارات_الاستراتيجية: جولة للإعلام الحربي في موقع الرديف العسكري في #جيزان وحجم الخسائر التي تكبدها الجيش السعودي #والقادم_أعظم 29-12-2015                                  النجم الثاقب telegram.me/alnajm_althaqb
15,2015/12/29,4:32:36 PM,2.5K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ قصيدة | صلاة النصر           للشاعر | معاذ الجنيد--------------------- ‏ رابط مباشر [ 7.5 ميجا ] //mmf.whatsapp.net/d/hW9Qa8tDKO_W7JEtnVAvNFaCa_sABSgHlC5S3A/Ap005A8qNODhQ5dnGkS8W4HY435VTdrLbJOyB1WG_uML.mp4
16,2015/12/29,4:34:09 PM,2.5K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ نشيد | موطن الأنصار            أداء | كوكبة من المنشدين اليمنيين--------------------- ‏ رابط مباشر [ 6.4 ميجا ] //mmf.whatsapp.net/d/JjR9yqnH4wxu-kNu2Df_g1aCbFsABSgHmehOEA/AnnOTopnKSYol1TlT4uM6CAhBkYCb7URCe2GGLHzv9wo.mp4
17,2015/12/30,11:02:45 AM,967,الزعيم عفاش بجم الوطن,🖕🖕شاااااااااااهد🖕🖕 #شاهدو سقوط طائرة اف 16 البحرينيه في #جيزان#الإعلام_الحربيابوكيان؏ﮩ₰  https://telegram.me/abokaian#ملتقى_انصاراللهابوكيان؏ﮩ₰ https://telegram.me/joinchat/BlmLojwLFgeLXMTnlcllYA     ﺳﻨﺨﺮﺱ ﺍﻟﻤﺮﺟﻔﻴﻦ          ﻭﺳﻨﺄﺗﻴﻜﻢ ﺑﺎﻟﺨﺒﺮ ﺍﻟﻴﻘﻴﻦ  القادم اعظم بإذن الله      ـــــــــــــــــــــــــــــــــــــــــــــــــــــــــ
18,2015/12/30,11:04:26 AM,1.2K,الزعيم عفاش بجم الوطن,شاهد | جولة في موقع الرديف العسكري وحجم الخسائر التي تكبدها الجيش السعودي 29-12-2015#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات
19,2015/12/30,11:05:36 AM,1.3K,الزعيم عفاش بجم الوطن,شاهد | سقوط الطائرة العسكرية البحرينية في جيزان.▬▬▬▬#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  https://telegram.me/AlmajdNews
20,2015/12/30,12:39:15 PM,7K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ فلاش | سنواجهكم إلى يوم القيامة--------------------- ‏ رابط مباشر [ 1.9 ميجا ] //mmf.whatsapp.net/d/5BOCOUsyfUoD_fZPDCniK1aEAggABSgfx_9S9w/AjnBKj7FbL91NCyxlZ6tGHuM70469fJOfrY_54jrAIrf.mp4
21,2015/12/31,10:57:12 AM,997,الزعيم عفاش بجم الوطن,مشاهد لدك القوة الصاروخية والمدفعية نقاط تمركز القوات السعودية وهروب للجنود والآليات في عسير 27 ديسمبر ..
22,2015/12/31,10:57:12 AM,997,الزعيم عفاش بجم الوطن,تدمير آلية عسكرية سعودية في الربوعة-عسير 22ديسمبر .
23,2015/12/31,10:57:12 AM,1.3K,الزعيم عفاش بجم الوطن,وزع الإعلام الحربي مشاهد لعمليهضرب صاروخي ومدفعي مكثف على نقاط تمركز القوات السعودية وهروب للجنود والآليات-عسير2015-12-27م.#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  https://telegram.me/AlmajdNews
24,2015/12/31,11:14:27 AM,7K,الزعيم عفاش بجم الوطن,‏ شاهد | الجيش واللجان الشعبية يدحرون المرتزقة من مواقع بمنطقة الناصفة في ذي ناعم والسيطرة على عدة تباب في الشازلي ومشبا ويفعان بمحافظة #البيضاء 30-12-2015 ‎هُـنـا المسيــرةtelegram.me/Hona_Almasirah
25,2015/12/31,11:14:46 AM,6.7K,الزعيم عفاش بجم الوطن,‏ شاهد | السيطرة على عدد من التباب المطلة على جبل العروس في صبر بمحافظة #تعز على أيدي أبطال الجيش واللجان الشعبية بالتعاون مع أبناء المنطقة 30-12-2015 ‎هُـنـا المسيــرةtelegram.me/Hona_Almasirah
26,2015/12/31,11:15:00 AM,6.7K,الزعيم عفاش بجم الوطن,‏ شاهد | سقوط طائرة حربية F16 بحرينية في #جيزان ومقتل جنود بحرينيين في العمق السعودي #والقادم_أعظم 30-12-2015 ‎هُـنـا المسيــرةtelegram.me/Hona_Almasirah
27,2015/12/31,11:16:39 AM,6.7K,الزعيم عفاش بجم الوطن,‏ شاهد | #الخيارات_الاستراتيجية: هروب جنود سعوديين بعد استهداف آلياتهم بمنطقة الربوعة في #عسير من قبل أبطال الجيش واللجان الشعبية #والقادم_أعظم 30-12-2015 ‎هُـنـا المسيــرةtelegram.me/Hona_Almasirah
28,2015/12/31,1:10:20 PM,5,الزعيم عفاش بجم الوطن,ييي
29,2016/01/01,10:36:05 AM,1.6K,الزعيم عفاش بجم الوطن,وزع الإعلام الحربي مشاهد لعملية إطلاق صاروخ (قاهر-1) على مطار أبها الدولي 2015-12-30#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  https://telegram.me/AlmajdNews
30,2016/01/01,10:36:05 AM,1.4K,الزعيم عفاش بجم الوطن,شاهد | منظومة صواريخ قاهر1 اليمنية تقهر النظام السعودي 31-12-2015‎#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  https://telegram.me/AlmajdNews
31,2016/01/01,10:36:05 AM,1.1K,الزعيم عفاش بجم الوطن,فيديو "| حريق هائل يلتهم أكبر أبراج الإماراتhttps://youtu.be/QEgQYhwndws
32,2016/01/01,11:01:32 AM,395,الزعيم عفاش بجم الوطن,السعوديين يساربوا علي غاز
