date,total
12/22/2015,2
12/24/2015,3
12/25/2015,3
12/27/2015,3
12/29/2015,11
12/30/2015,5
12/31/2015,8
01/01/2016,7
01/02/2016,10
01/03/2016,5
01/04/2016,2
01/06/2016,2
01/07/2016,3
01/08/2016,8
01/09/2016,5
01/12/2016,2
01/13/2016,2
01/15/2016,8
01/16/2016,2
01/17/2016,5
01/18/2016,2
01/19/2016,8
01/20/2016,1
01/22/2016,4
01/23/2016,4
01/24/2016,4
01/25/2016,4
01/26/2016,4
01/27/2016,6
01/28/2016,6
01/29/2016,7
01/30/2016,7
01/31/2016,7
02/01/2016,6
02/02/2016,9
02/03/2016,9
02/04/2016,6
02/05/2016,3
02/06/2016,3
02/07/2016,4
02/08/2016,9
02/09/2016,7
02/10/2016,8
02/11/2016,4
02/12/2016,13
02/13/2016,8
02/14/2016,17
02/15/2016,8
02/16/2016,10
02/17/2016,8
02/18/2016,8
02/19/2016,8
02/20/2016,4
02/21/2016,4
02/22/2016,6
02/23/2016,21
02/24/2016,20
02/25/2016,4
02/26/2016,8
02/27/2016,18
02/28/2016,18
02/29/2016,10
03/01/2016,15
03/02/2016,17
03/03/2016,18
03/04/2016,12
03/05/2016,19
03/06/2016,21
03/07/2016,9
03/08/2016,19
03/09/2016,19
03/10/2016,8
03/11/2016,29
03/12/2016,30
03/13/2016,32
03/14/2016,25
03/15/2016,25
03/16/2016,15
03/17/2016,18
03/18/2016,26
03/19/2016,43
03/20/2016,43
03/21/2016,21
03/22/2016,43
03/23/2016,49
03/24/2016,14
03/25/2016,32
03/26/2016,24
03/27/2016,26
03/28/2016,28
03/29/2016,36
03/30/2016,37
03/31/2016,32
04/01/2016,31
04/02/2016,50
04/03/2016,56
04/04/2016,43
04/05/2016,69
04/06/2016,45
04/07/2016,35
04/08/2016,29
04/09/2016,47
04/10/2016,22
04/11/2016,54
04/12/2016,12
04/13/2016,12
04/14/2016,26
04/15/2016,31
04/16/2016,16
04/19/2016,2
12/17/2015,2
12/18/2015,1
12/19/2015,1
12/20/2015,1
12/21/2015,4
12/28/2015,2
01/14/2016,1
04/17/2016,6
